Element ID	Element Name	Description
4.A.1.b.2.e.2	Inspect work sites to identify potential environmental or safety hazards.	
4.A.1.b.2.e.3	Inspect facilities, equipment or supplies to ensure conformance to standards.	
4.A.1.b.2.e.4	Inspect cargo areas for cleanliness or condition.	
4.A.1.b.2.e.5	Inspect work environments to ensure safety.	
4.A.1.b.2.e.6	Monitor cargo area conditions.	
4.A.1.b.2.e.7	Inspect facilities.	
4.A.1.b.2.e.8	Inspect facilities or equipment to ensure specifications are met.	
4.A.1.b.2.e.9	Inspect areas for compliance with sanitation standards.	
4.A.1.b.2.e.10	Inspect facilities to ensure compliance with fire regulations.	
4.A.1.b.2.e.11	Inspect facilities to ensure compliance with safety, quality, or service standards.	
4.A.1.b.2.e.12	Inspect facilities or sites to determine if they meet specifications or standards.	
4.A.1.b.2.e.13	Inspect facilities to ensure compliance with security or safety regulations.	
4.A.1.b.2.e.14	Inspect facilities for cleanliness.	
4.A.1.b.2.e.15	Inspect condition or functioning of facilities or equipment.	
4.A.1.b.2.e.16	Inspect buildings or grounds to determine condition.	
4.A.1.b.2.f	Inspect completed work or finished products.	
4.A.1.b.2.f.1	Verify alignment of structures or equipment.	
4.A.1.b.2.f.2	Inspect timing devices.	
4.A.1.b.2.f.3	Inspect finishes of workpieces or finished products.	
4.A.1.b.2.f.4	Count finished products or workpieces.	
4.A.1.b.2.f.5	Inspect metal, plastic, or composite products.	
4.A.1.b.2.f.6	Inspect work to ensure standards are met.	
4.A.1.b.2.f.7	Inspect textile products.	
4.A.1.b.2.f.8	Inspect finished products to locate flaws.	
4.A.1.b.2.f.9	Evaluate projects to determine compliance with technical specifications.	
4.A.1.b.2.f.10	Inspect medical or dental assistive devices.	
4.A.1.b.2.f.11	Inspect items for damage or defects.	
4.A.1.b.2.f.12	Check quality of foods or supplies.	
4.A.1.b.2.f.13	Inspect food products.	
4.A.1.b.2.f.14	Inspect sets or exhibits.	
4.A.1.b.2.f.15	Inspect completed work to ensure proper functioning.	
4.A.1.b.2.f.16	Inspected printed materials or other images to verify quality.	
4.A.1.b.2.f.17	Inspect completed work to ensure proper installation.	
4.A.1.b.2.f.18	Inspect installed components or assemblies.	
4.A.1.b.2.g	Inspect commercial, industrial, or production systems or equipment.	
4.A.1.b.2.g.1	Inspect equipment or tools to be used in construction or excavation.	
4.A.1.b.2.g.2	Inspect safety equipment to ensure proper functioning.	
4.A.1.b.2.g.3	Inspect systems to determine if they are operating properly.	
4.A.1.b.2.g.4	Inspect equipment or facilities to determine condition or maintenance needs.	
4.A.1.b.2.g.5	Inspect telecommunications equipment to identify problems.	
4.A.1.b.2.g.6	Inspect equipment to locate or identify electrical problems.	
4.A.1.b.2.g.7	Inspect material-moving equipment to detect problems.	
4.A.1.b.2.g.8	Inspect electrical or electronic systems for defects.	
4.A.1.b.2.g.9	Conduct validation tests of equipment or processes.	
4.A.1.b.2.g.10	Inspect gas systems or components to identify leaks or other potential hazards.	
4.A.1.b.2.g.11	Inspect equipment or systems.	
4.A.1.b.2.g.12	Inspect plumbing systems or fixtures.	
4.A.1.b.2.g.13	Locate equipment or materials in need of repair or replacement.	
4.A.1.b.2.g.14	Inspect equipment to ensure safety or proper functioning.	
4.A.1.b.2.g.15	Inspect production equipment.	
4.A.1.b.2.g.16	Inspect industrial or commercial equipment to ensure proper operation.	
4.A.1.b.2.g.17	Inspect sustainable energy production facilities or equipment.	
4.A.1.b.2.g.18	Inspect equipment to ensure proper functioning.	
4.A.1.b.2.g.19	Inspect communications or broadcasting equipment.	
4.A.1.b.2.g.20	Inspect mechanical equipment to locate damage, defects, or wear.	
4.A.1.b.2.g.21	Examine medical instruments or equipment to ensure proper operation.	
4.A.1.b.2.h	Test performance of computer or information systems.	
4.A.1.b.2.h.1	Test computer hardware performance.	
4.A.1.b.2.h.2	Test computer system operations to ensure proper functioning.	
4.A.1.b.2.h.3	Test software performance.	
4.A.1.b.2.i	Examine people or animals to assess health conditions or physical characteristics.	
4.A.1.b.2.i.1	Check physical condition of people or animals.	
4.A.1.b.2.i.2	Examine animals to detect illness, injury or other problems.	
4.A.1.b.2.i.3	Examine patients to assess general physical condition.	
4.A.1.b.2.i.4	Examine mouth, teeth, gums, or related facial structures.	
4.A.1.b.2.i.5	Measure the physical or physiological attributes of patients.	
4.A.1.b.2.j	Inspect characteristics or conditions of materials or products.	
4.A.1.b.2.j.1	Compare physical characteristics of materials or products to specifications or standards.	
4.A.1.b.2.j.2	Inspect lumber or raw woodstock.	
4.A.1.b.2.j.3	Inspect shipments to ensure correct order fulfillment.	
4.A.1.b.2.j.4	Inspect garments for defects, damage, or stains.	
4.A.1.b.2.j.5	Inspect cargo to identify potential hazards.	
4.A.1.b.2.j.6	Evaluate characteristics of archival or historical objects.	
4.A.1.b.2.j.7	Examine condition of property or products.	
4.A.1.b.2.j.8	Inspect materials or equipment to determine need for repair or replacement.	
4.A.1.b.2.j.9	Examine physical characteristics of gemstones or precious metals.	
4.A.1.b.2.j.10	Examine physical characteristics of natural stone or stone products.	
4.A.1.b.2.k	Test sites or materials for environmental hazards.	
4.A.1.b.2.k.1	Test air quality at work sites.	
4.A.1.b.2.k.2	Test facilities for environmental hazards.	
4.A.1.b.2.l	Test performance of equipment or systems.	
4.A.1.b.2.l.1	Test communications equipment to ensure proper functioning.	
4.A.1.b.2.l.2	Test performance of electrical, electronic, mechanical, or integrated systems or equipment.	
4.A.1.b.2.l.3	Test electrical equipment or systems to ensure proper functioning.	
4.A.1.b.2.l.4	Test performance of aircraft equipment.	
4.A.1.b.2.l.5	Test mechanical equipment to ensure proper functioning.	
4.A.1.b.2.l.6	Measure equipment outputs.	
4.A.1.b.2.l.7	Test mechanical systems to ensure proper functioning.	
4.A.1.b.2.l.8	Conduct test runs of production equipment.	
4.A.1.b.2.l.9	Test electrical circuits or components for proper functioning.	
4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity.
4.A.1.b.3.a	Measure physical characteristics of materials, products, or equipment.	
4.A.1.b.3.a.1	Measure materials to mark reference points, cutting lines, or other indicators.	
4.A.1.b.3.a.2	Calculate dimensions of workpieces, products, or equipment.	
4.A.1.b.3.a.3	Measure physical or chemical properties of materials or objects.	
4.A.1.b.3.a.4	Measure product or material dimensions.	
4.A.1.b.3.a.5	Measure radiation levels.	
4.A.1.b.3.a.6	Measure distances or dimensions.	
4.A.1.b.3.a.7	Measure physical characteristics of forestry or agricultural products.	
4.A.1.b.3.a.8	Calculate weights, volumes or other characteristics of materials.	
4.A.1.b.3.a.9	Measure ingredients.	
4.A.1.b.3.a.10	Measure ingredients or substances to be used in production processes.	
4.A.1.b.3.a.11	Weigh finished products.	
4.A.1.b.3.a.12	Measure dimensions of completed products or workpieces to verify conformance to specifications.	
4.A.1.b.3.a.13	Weigh parcels to determine shipping costs.	
4.A.1.b.3.a.14	Weigh materials to ensure compliance with specifications.	
4.A.1.b.3.a.15	Measure stock or liquid levels in sustainable fuel production systems.	
4.A.1.b.3.a.16	Measure materials or objects for installation or assembly.	
4.A.1.b.3.a.17	Measure the level or depth of water or other liquids.	
4.A.1.b.3.b	Estimate project development or operational costs.	
4.A.1.b.3.b.1	Estimate time or monetary resources needed to complete projects.	
4.A.1.b.3.b.2	Estimate construction project costs.	
4.A.1.b.3.b.3	Estimate maintenance service requirements or costs.	
4.A.1.b.3.b.4	Estimate operational costs.	
4.A.1.b.3.b.5	Estimate green project costs.	
4.A.1.b.3.b.6	Estimate costs for projects or productions.	
4.A.1.b.3.b.7	Estimate costs for labor or materials.	
4.A.1.b.3.c	Calculate financial data.	
4.A.1.b.3.c.1	Calculate financial data.	
4.A.1.b.3.c.2	Compute gaming wins and losses.	
4.A.1.b.3.c.3	Calculate tax information.	
4.A.1.b.3.c.4	Compute debt repayment schedules.	
4.A.1.b.3.d	Assess characteristics of land or property.	
4.A.1.b.3.d.1	Survey land or properties.	
4.A.1.b.3.d.2	Measure work site dimensions.	
4.A.1.b.3.d.3	Calculate geographic positions from survey data.	
4.A.1.b.3.d.4	Survey land or bodies of water to measure or determine features.	
4.A.1.b.3.d.5	Assess locations for potential green technology installations.	
4.A.1.b.3.e	Take physical measurements of patients or clients.	
4.A.1.b.3.e.1	Measure clients to ensure proper product fit.	
4.A.2	Mental Processes	What processing, planning, problem-solving, decision-making, and innovating activities are performed with job-relevant information?
4.A.2.a	Information and Data Processing	How is information processed to perform this job?
4.A.2.a.1	Judging the Qualities of Objects, Services, or People	Assessing the value, importance, or quality of things or people.
4.A.2.a.1.a	Assess living, work, or social needs or status of individuals or communities.	
